v1;preview;Titre;h3;Description;;Url Image
https://unbottled.co/products/duo-gommages-visage-corps;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-gommages-visage-corps?view=product-bundle;Coffret Gommages Visage & Corps;Un duo ultra gourmand;Café, miel, noisettes… Difficile de différencier nos gommages de barres chocolatées.  D’autant que leurs parfums n’ont rien à envier à leurs homologues comestibles. Mais c’est bien sur votre peau et non dans votre estomac qu’il est recommandé de les appliquer. Plaisir garanti sous la douche, ce serait gommage de passer à côté…; ;Partie_un_duo_ultra_gourmand.jpg?v=1650997936
https://unbottled.co/products/duo-de-bougies-vegetales-parfumees;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-de-bougies-vegetales-parfumees?view=product-bundle;Duo de Bougies Végétales Parfumées;N/A;N/A; ;N/A
https://unbottled.co/products/duo-de-deos-fleuri-cheri-menthe-ole;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-de-deos-fleuri-cheri-menthe-ole?view=product-bundle;Duo de Déos 48H - Fleuri Chéri & Menthe Olé;Les super ingrédients;"Toutes nos formules associent des huiles végétales à des actifs aux propriétés scientifiquement prouvées. Ici, on vous explique pourquoi on les a choisis.        
        "; ;Les_Super_Ingredients_d30c2adc-2b9e-41c6-a0f3-53d7e04d7d6d.gif?v=1684854018
https://unbottled.co/products/duo-nettoyants-detox-super-doux;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-nettoyants-detox-super-doux?view=product-bundle;Duo de Nettoyants;Une routine visage 100% solide;"Vous pouvez enfin dire adieu à tous les flacons et tubes en plastique pour votre routine visage. #1 Démaquillez #2 nettoyez et #3 exfoliez en douceur grâce à nos 3 formules solides ultra efficaces et sans savon. Faites même faire des économies en optant pour nos duos & trios - elle est pas belle la vie ?        
        "; ;Routine_visage_100_solide.jpg?v=1673516715
https://unbottled.co/products/duo-de-savons-mains-surgras-et-leurs-porte-savons;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-de-savons-mains-surgras-et-leurs-porte-savons?view=product-bundle;Duo de Savons Surgras & leurs Porte-Savons;Elégant et pratique ;"Grâce à leur forme incurvée seuls les angles du produit touchent le support (que celui ou celle qui n’a jamais retrouvé son savon collé à son porte savon se dénonce) et les petits trous permettent à l’eau de s’écouler et au produit de sécher rapidement.

"; ;GIF_PSMains.gif?v=120635188922273580991684762366
https://unbottled.co/products/duo-demaquillant-nettoyant-visage;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-demaquillant-nettoyant-visage?view=product-bundle;Duo Démaquillant & Nettoyant Visage;Le double nettoyage, kezako ? ;Saviez-vous que nettoyer votre peau sans la démaquiller revient à prendre une douche tout habillée ? Le double nettoyage consiste à d’abord vous démaquiller avec un produit à la texture grasse pour éliminer le maquillage, le sébum et la pollution. Puis à nettoyer votre peau avec un produit moussant pour la libérer des impuretés et toxines restantes.; ;Double_nettoyage.jpg?v=1666793553
https://unbottled.co/products/duo-douceur;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-douceur?view=product-bundle;Duo Douceur;Les super ingrédients;S’il est recommandé de nettoyer sa peau tous les jours, les gommages eux, ne sont à faire que 2 fois par semaine. Pourquoi ? Car à trop vouloir l’exfolier, on irrite sa peau, on stimule la production de sébum et on provoque des imperfections. Ce serait quand même gommage…; ;Le_double_nettoyage_kezako_700x.jpg?v=1685381522
https://unbottled.co/products/duo-gel-douche-abricot-soin-lavant-intime;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-gel-douche-abricot-soin-lavant-intime?view=product-bundle;Duo Gel Douche Abricot & Soin Lavant Intime;Une routine solide ultra-douce ;"Grâce à nos formules au pH physiologique, vous pouvez enfin dire adieu aux bouteilles en plastique de parapharmacie. 
Passez au 100% solide sans faire de compromis en choisissant entre nos 2 Gels Douche Sans Bouteille (et sans savon) et complétez avec le soin lavant intime. 
En optant pour nos duos, vous ferez même des économies – elle est pas belle la vie ? 

        
"; ;Partie_routine_solide_option_1.jpg?v=1648561981
https://unbottled.co/products/duo-gel-douche-avoine-soin-lavant-intime;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-gel-douche-avoine-soin-lavant-intime?view=product-bundle;Duo Gel Douche Avoine & Soin Lavant Intime;Une routine solide ultra-douce ;"Grâce à nos formules au pH physiologique, vous pouvez enfin dire adieu aux bouteilles en plastique de parapharmacie. 
Passez au 100% solide sans faire de compromis en choisissant entre nos 2 Gels Douche Sans Bouteille (et sans savon) et complétez avec le soin lavant intime. 
En optant pour nos duos, vous ferez même des économies – elle est pas belle la vie ? 

        
"; ;Partie_routine_solide_option_1.jpg?v=1648561981
https://unbottled.co/products/duo-de-gels-douche-avoine-abricot;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-de-gels-douche-avoine-abricot?view=product-bundle;Duo Gels Douche Avoine & Abricot;Faites léviter !;"Rien de plus simple que d’installer ce porte-savon au mur de votre douche : la preuve en image. Veillez simplement à ce que la surface soit lisse et sèche. Et attendez quelques heures que la ventouse soit bien fixée pour associer les deux. Les produits solides à moitié fondus dans une eau stagnante ne seront bientôt plus qu’un vieux souvenir !



"; ;N/A
