URL;Titre;Liste Ingrédients
https://unbottled.co/products/shampoing-solide-tout-nu;Shampoing Solide Tout Nu - Tous Types de Cheveux;Super Ingrédient@Huile de Brocoli  Brassica OleraceaItalica Seed Oil@Propriété lissante  (substitut naturel aux silicones)@BROCCOLI#Super Ingrédient@Huile d'Argan Bio  Argania Spinosa Kernel Oil@Propriété nourrissante@CHESTNUT#Super Ingrédient@Argile Verte  Montmorillonite@Propriété équilibrante@GREEN HEART#Parfum Naturel@Parfum  Fragrance@Parfum 100% naturel aux notes de romarin et menthe  (avec huiles essentielles)@SPARKLES#none@Huile de Colza  Hydrogenated Vegetable Oil@Propriétés adoucissantes@SUNFLOWER#none@Tensioactif Biodégradable  Sodium Cocoyl Isethionate@Agent lavant d’origine végétale@DASH SYMBOL#none@Émulsifiant  Polyglyceryl-4 Laurate@Favorise la formation de mélanges entre des liquides non miscibles@SPLASHING SWEAT SYMBOL#none@Agent Naturel  Erythritol@Humectant et hydratant@none#none@Glycérine Végétale  Glycerin@Agent émollient et hydratant naturel@HERB#none@Tensioactif Biodégradable  Decyl Glucoside@Agent moussant et lavant d’origine végétale@DASH SYMBOL#none@Agent de Chélation  Tetrasodium Glutamate Diacetate@Stabilisant biodégradable@JIGSAW PUZZLE PIECE#none@Colorant Bleu Naturel  CI 77007 (Ultramarines)@Donne la couleur bleue de notre shampoing@LARGE BLUE DIAMOND#none@Silice   Silica@Agent absorbant naturellement présent dans l'argile@EIGHT SPOKED ASTERISK#none@Geraniol, Limonene & Linanool   Huiles Essentielles@Agents parfumés naturels contenus dans les huiles essentielles@LEAF FLUTTERING IN WIND
https://unbottled.co/products/nettoyant-visage-super-doux;Nettoyant Visage Super Doux;Super Ingrédient@Huile de Jojoba  Simmondsia Chinensis (Jojoba) Seed Oil@Propriétés équilibrantes@AMPHORA#Super Ingrédient@Huile de Cameline  Camelina Sativa Seed Oil@Propriétés réparatrices@SUNFLOWER#Super Ingrédient@Extrait de Curcuma  Curcuma Longa Root Powder@Propriétés unifiantes et antioxydantes@LOW BRIGHTNESS SYMBOL#Parfum Naturel@Parfum 100% naturel  Fragrance@Aux notes d'aloe mimosa  (sans huiles essentielles)@SPARKLES#none@Agents Absorbants  Maltodextrine, Oxyde de magnésium et Alumine@Absorbe l’eau ou l’huile@EIGHT SPOKED ASTERISK#none@Tensioactif Biodégradable  Sodium Cocoyl Isethionate@Agent moussant d’origine végétale@DASH SYMBOL#none@Agents nettoyants   Acide stéraique, Acide laurique, Acide myristique@Remplacent le savon@BATH#none@Tensioactif biodégradable  Disodium Lauryl Sulfosuccinate@Agent moussant et lavant d’origine végétale@SPLASHING SWEAT SYMBOL#none@Huile de Ricin  Hydrogenated Castor Oil@Propriétés assouplissantes et adoucissantes@HERB#none@Alcool Cetylique  Cetyl Alcohol@Propriétés assouplissantes et adoucissantes@SPLASHING SWEAT SYMBOL#none@Acide citrique   Citric Adic@Un des principaux actifs du citron, utilisé pour équilibrer le pH@LEMON#none@Colorants  CI 77491 (Iron Oxides), CI 77492  (Iron Oxides), CI 77499 (Iron Oxides)@Autorisés en cosmétique bio (dans le référentiel Cosmos)@ORANGE HEART
https://unbottled.co/products/gel-douche-sans-bouteille;Gel Douche Sans Bouteille - Avoine & Amande Douce;Super Ingrédient@Huile d’Avoine  Avena Sativa (Oat) Kernel Oil@Propriétés apaisantes et réparatrices@EAR OF RICE#Super Ingrédient@Huile d’Amande Douce   Prunus Amygdalus Dulcis (Sweet Almond) Oil@Propriétés adoucissantes@YELLOW HEART#Super Ingrédient@Son d’Avoine  Triticum Vulgare (Wheat) Bran@Propriétés exfoliantes@EAR OF RICE#Parfum Naturel@Parfum gourmand  Fragrance@Parfum 100% naturel (sans huiles essentielles)@SPARKLES#none@Huile de Colza  Hydrogenated Vegetable Oil@Propriétés adoucissantes@SUNFLOWER#none@Tensioactif Biodégradable  Sodium Cocoyl Isethionate@Agent moussant d’origine végétale@DASH SYMBOL#none@Émulsifiant   Polyglyceryl-4 Laurate@Favorise la formation de mélanges entre des liquides non miscibles (eau et huile)@SPLASHING SWEAT SYMBOL#none@Glycérine Végétale  Glycerin@Agent émollient et hydratant naturel@HERB#none@Tensioactif Biodégradable   Decyl Glucoside@Agent moussant et lavant d'origine végétale@THOUGHT BALLOON#none@Agent de Chélation    Tetrasodium Glutamate Diacetate@Stabilisant biodégradable@JIGSAW PUZZLE PIECE
https://unbottled.co/products/maxi-gel-douche-avoine-amande;Maxi Gel Douche - Avoine & Amande;Super Ingrédient@Huile d’Avoine  Avena Sativa (Oat) Kernel Oil@Propriétés apaisantes et réparatrices@EAR OF RICE#Super Ingrédient@Huile d’Amande Douce   Prunus Amygdalus Dulcis (Sweet Almond) Oil@Propriétés adoucissantes@YELLOW HEART#Super Ingrédient@Son d’Avoine  Triticum Vulgare (Wheat) Bran@Propriétés exfoliantes@EAR OF RICE#Parfum Naturel@Parfum gourmand  Fragrance@Parfum 100% naturel (sans huiles essentielles)@SPARKLES#none@Huile de Colza  Hydrogenated Vegetable Oil@Propriétés adoucissantes@SUNFLOWER#none@Tensioactif Biodégradable  Sodium Cocoyl Isethionate@Agent moussant d’origine végétale@DASH SYMBOL#none@Émulsifiant   Polyglyceryl-4 Laurate@Favorise la formation de mélanges entre des liquides non miscibles (eau et huile)@SPLASHING SWEAT SYMBOL#none@Glycérine Végétale  Glycerin@Agent émollient et hydratant naturel@HERB#none@Tensioactif Biodégradable   Decyl Glucoside@Agent moussant et lavant d'origine végétale@THOUGHT BALLOON#none@Agent de Chélation    Tetrasodium Glutamate Diacetate@Stabilisant biodégradable@JIGSAW PUZZLE PIECE
https://unbottled.co/products/shampoing-solide-tout-nu-cheveux-gras;Shampoing Solide Tout Nu - Cheveux Gras & Pellicules;Super Ingrédient@Argile Blanche  Kaolin@Propriétés absorbantes et purifiantes@MEDIUM WHITE CIRCLE#Super Ingrédient@Huile de Lin  Linum Usitatissimum (Linseed) Seed Oil@Propriétés gainantes de la fibre@SPOOL OF THREAD#Super Ingrédient@Huile Essentielle d’Arbre à Thé  Melaleuca Alternifolia (Tea Tree) Leaf Oil@Propriétés assainissantes et anti-pelliculaires@TEACUP WITHOUT HANDLE#Super Ingrédient@Poudre d’Ortie  Urtica Dioica (Nettle) Leaf Powder@Propriétés sébo-régulatrices et anti-pelliculaires@LEAF FLUTTERING IN WIND#Parfum Naturel@Parfum  Fragrance@Parfum 100% naturel aux notes de sauge & eucalyptus  (avec huiles essentielles)@SPARKLES#none@Huile de Colza & Tournesol  Hydrogenated Vegetable Oil@Propriétés adoucissantes@SUNFLOWER#none@Tensioactif Biodégradable  Sodium Cocoyl Isethionate@Agent lavant d’origine végétale@DASH SYMBOL#none@Émulsifiant  Polyglyceryl-4 Laurate@Favorise la formation de mélanges entre des liquides non miscibles@SPLASHING SWEAT SYMBOL#none@Glycérine Végétale  Glycerin@Agent émollient et hydratant naturel@HERB#none@Humectants  Anhydroxylitol, Xylitol & Xylitylglucoside@Retiennent l’eau et gainent la fibre@DROPLET#none@Sucre Glucose@Agent humectant (retention d’eau)@CANDY#none@Agent de Chélation  Tetrasodium Glutamate Diacetate@Stabilisant biodégradable@JIGSAW PUZZLE PIECE#none@Colorants Naturels  CI 77007 (Ultramarines) & CI 77492 (Iron Oxides)@Autorisés en cosmétique bio@GREEN HEART#none@Silice   Silica@Agent absorbant naturellement présent dans l'argile@EIGHT SPOKED ASTERISK#none@Limonene & Linanool   Huiles Essentielles@Agents parfumés naturels contenus dans les huiles essentielles@LEAF FLUTTERING IN WIND
https://unbottled.co/products/shampoing-solide-tout-nu-cheveux-secs;Shampoing Solide Tout Nu - Cheveux Secs & Abimés;Super Ingrédient@Huile de Ricin  Argania Spinosa Kernel Oil@Propriétés gainantes de la fibre@PEANUTS#Super Ingrédient@Huile d'Argan  Argania Spinosa Kernel Oil@Propriétés nourrissantes@CHESTNUT#Super Ingrédient@Huile d'Olive  Olea Europaea (Olive) Fruit Oil@Apporte force & brillance@DECIDUOUS TREE#Super Ingrédient@Esters d’Huile d'Olive  Olive Oil Decyl Esters@Propriétés réparatrices et protectrices@HIGH BRIGHTNESS SYMBOL#none@Phytosqualène 100% Végétal  Squalene@Conditionneur capillaire@LOW BRIGHTNESS SYMBOL#Parfum Naturel@Parfum  Fragrance@Parfum 100% naturel - lait d’olivier (sans huiles essentielles)@SPARKLES#none@Huile de Colza & Tournesol  Hydrogenated Vegetable Oil@Propriétés adoucissantes@SUNFLOWER#none@Tensioactif Biodégradable  Sodium Cocoyl Isethionate@Agent lavant d’origine végétale@DASH SYMBOL#none@Émulsifiant  Polyglyceryl-4 Laurate@Favorise la formation de mélanges entre des liquides non miscibles@SPLASHING SWEAT SYMBOL#none@Glycérine Végétale  Glycerin@Agent émollient et hydratant naturel@HERB#none@Gomme Tara  Caesalpinia Spinosa Gum@Agent filmogène (protège la fibre)@CHERRY BLOSSOM#none@Humectants  Anhydroxylitol, Xylitol, Xylitylglucoside@Retiennent l’eau et gainent la fibre@DROPLET#none@Sucre  Glucose@Agent humectant (retention d’eau)@CANDY#none@Agent de Chélation  Tetrasodium Glutamate Diacetate@Stabilisant biodégradable@JIGSAW PUZZLE PIECE#none@Agents absorbants  Alumina & Magnesium Oxide@Absorbent l’eau ou l’huile@EIGHT SPOKED ASTERISK#none@Colorants naturels  CI 77491 (Iron Oxides), CI 77492 (Iron Oxides) & CI 77499 (Iron Oxides)@Colorants naturels autorisés en cosmétique bio@GREEN HEART
https://unbottled.co/products/savon-surgras-mains-toutes-douces;Savon Surgras Mains-Toutes-Douces;Super Ingrédient@Beurre de Karité   Butyrospermum Parkii (Shea) Butter@Propriétés nourrissantes@CHESTNUT#Super Ingrédient@Pépins de framboise   Rubus Idaeus (Raspberry) Seed@Exfoliants@STRAWBERRY#Parfum Naturel@Parfum  Fragrance@Parfum 100% naturel aux notes de framboise & fève tonka (avec huiles essentielles)@SPARKLES#none@Huile de Tournesol Saponifiée  Sodium Sunflowerseedate@Agent nettoyant@SUNFLOWER#none@Huile de Coco Saponifée   Sodium Cocoate@Agent nettoyant@DASH SYMBOL#none@Argile Blanche   Kaolin@Propriétés équilibrantes@none#none@Glycerine Végétale    Glycerin@Agent hydratant et émolient naturel@SPLASHING SWEAT SYMBOL#none@Acide Citrique   Citric Acid@Propriétés équilibrantes du pH@HERB#none@Sel   Sodium Chloride@Contrôle de la viscosité@DASH SYMBOL#none@Soude  Sodium Hydroxide@Permet la saponification@JIGSAW PUZZLE PIECE#none@Agent de Chélation  Tetrasodium Glutamate Diacetate@Stabilisant biodégradable@LARGE BLUE DIAMOND#none@Colorant Naturel  CI 77007 (Ultramarines), CI 77491 (Iron Oxides), CI 77499 (Iron Oxides)@Colorant naturel autorisé en cosmétique bio@JIGSAW PUZZLE PIECE#none@Silice   Silica@Agent absorbant naturel@EIGHT SPOKED ASTERISK#none@Huiles Essentielles   Eugenol@Agents parfumés naturels contenus dans les huiles essentielles@LEAF FLUTTERING IN WIND
https://unbottled.co/products/savon-surgras-stop-mains-seches;Savon Surgras Stop-Mains-Sèches;Super Ingrédient@Huile de Cameline   Camelina Sativa  Seed Oil@Propriétés réparatrices@LEMON#Parfum Naturel@Parfum  Fragrance@Parfum 100% naturel aux notes de bergamote et romarin  (avec huiles essentielles)@SPARKLES#none@Huile de Tournesol Saponifiée  Sodium Sunflowerseedate@Agent nettoyant@SUNFLOWER#none@Huile de Coco Saponifée   Sodium Cocoate@Agent nettoyant@DASH SYMBOL#none@Glycerine Végétale  Glycerin@Agent hydratant et émolient naturel@SPLASHING SWEAT SYMBOL#none@Argile Verte   Montmorillonite@Propriétés équilibrantes@none#none@Acide Citrique   Citric Acid@Propriétés équilibrantes du pH@HERB#none@Sel   Sodium Chloride@Contrôle de la viscosité@DASH SYMBOL#none@Soude  Sodium Hydroxide@Permet la saponification@JIGSAW PUZZLE PIECE#none@Agent de Chélation  Tetrasodium Glutamate Diacetate@Stabilisant biodégradable@LARGE BLUE DIAMOND#none@Colorant Naturel  CI 77492 (Iron Oxides)@Colorant naturel autorisé en cosmétique bio@LARGE BLUE DIAMOND#none@Geraniol, Limonene & Linanool   Huiles Essentielles@Agents parfumés naturels contenus dans les huiles essentielles@LEAF FLUTTERING IN WIND
https://unbottled.co/products/gel-douche-sans-bouteille-abricot-karite;Gel Douche Sans Bouteille - Abricot & Karité;Super Ingrédient@Huile de  Noyau d'Abricot  Prunus Armeniaca (Apricot) Kernel Oil@Propriétés assouplissantes@PEACH#Super Ingrédient@Beurre de Karité   Butyrospermum Parkii (Shea) Butter@Propriétés hydratantes@CHESTNUT#Parfum Naturel@Parfum fruité  Fragrance@Parfum 100% naturel (sans huiles essentielles)@PEACH#none@Huile de Colza  Hydrogenated Vegetable Oil@Propriétés adoucissantes@SUNFLOWER#none@Tensioactif Biodégradable  Sodium Cocoyl Isethionate@Agent moussant et lavant d’origine végétale@DASH SYMBOL#none@Émulsifiant   Polyglyceryl-4 Laurate@Favorise la formation de mélanges entre des liquides non miscibles (eau et huile)@SPLASHING SWEAT SYMBOL#none@Glycérine Végétale  Glycerin@Agent émollient et hydratant naturel@HERB#none@Tensioactif Biodégradable   Decyl Glucoside@Agent moussant et lavant d'origine végétale@THOUGHT BALLOON#none@Agent de Chélation    Tetrasodium Glutamate Diacetate@Stabilisant biodégradable@JIGSAW PUZZLE PIECE#none@Colorants  CI 77491, 77492 & 77499@Autorisés en cosmétique bio (dans le référentiel Cosmos)@LARGE RED CIRCLE
https://unbottled.co/products/maxi-gel-douche-abricot-karite;Maxi Gel Douche - Abricot & Karité;Super Ingrédient@Huile de  Noyau d'Abricot  Prunus Armeniaca (Apricot) Kernel Oil@Propriétés assouplissantes@PEACH#Super Ingrédient@Beurre de Karité   Butyrospermum Parkii (Shea) Butter@Propriétés hydratantes@CHESTNUT#Parfum Naturel@Parfum fruité  Fragrance@Parfum 100% naturel (sans huiles essentielles)@PEACH#none@Huile de Colza  Hydrogenated Vegetable Oil@Propriétés adoucissantes@SUNFLOWER#none@Tensioactif Biodégradable  Sodium Cocoyl Isethionate@Agent moussant et lavant d’origine végétale@DASH SYMBOL#none@Émulsifiant   Polyglyceryl-4 Laurate@Favorise la formation de mélanges entre des liquides non miscibles (eau et huile)@SPLASHING SWEAT SYMBOL#none@Glycérine Végétale  Glycerin@Agent émollient et hydratant naturel@HERB#none@Tensioactif Biodégradable   Decyl Glucoside@Agent moussant et lavant d'origine végétale@THOUGHT BALLOON#none@Agent de Chélation    Tetrasodium Glutamate Diacetate@Stabilisant biodégradable@JIGSAW PUZZLE PIECE#none@Colorants  CI 77491, 77492 & 77499@Autorisés en cosmétique bio (dans le référentiel Cosmos)@LARGE RED CIRCLE
